PlateID,CellLine,Replicate,PlateLayout,control,treatment,ks_stat,ks_pval,ks_qval,is_significant_0.05,is_significant_0.1
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-200a-3p,0.0836141863564589,1.69647614607905e-06,5.552103750804163e-06,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-200a-5p,0.06382243870827614,0.0003957137663568569,0.0008282381156306306,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-200b-3p,0.14428359317000744,3.4617446456243645e-16,5.192616968436547e-15,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-203a-3p,0.08428295287983484,8.849595908022975e-07,3.2508719662125217e-06,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-204-5p,0.05784097999113991,0.0009513791853986233,0.0018106386322110457,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-205-5p,0.12319581666320878,4.5416036080114597e-13,4.3025718391687514e-12,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-206,0.16118735218650737,1.0025479620673922e-20,3.0076438862021767e-19,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-208a-3p,0.06592804588350243,0.00027317496365980977,0.0005924276320333224,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-210-3p,0.06888917643450404,0.00020918328599696257,0.00046519602752516587,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-216a-5p,0.043640710882468764,0.023887631659259174,0.03282269998982177,False,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-218-5p,0.14258501522188272,1.0550680540616496e-16,2.110136108123299e-15,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-219a-2-3p,0.053040945691279706,0.005808561701533725,0.009252576161735136,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-219a-5p,0.05583352825321275,0.001972246622245512,0.003446644582564973,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-221-3p,0.022640314399779878,0.3608019636284557,0.40338107734858397,False,False
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-296-5p,0.0533329119615798,0.003132650069436111,0.005421894350947115,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-299-5p,0.05202321367275742,0.004638898051210786,0.0078037537310088,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-301a-3p,0.12334342222983646,2.859529209330135e-13,2.8595292093301352e-12,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-302a-3p,0.023243656011140493,0.38069189783838936,0.4229909975982104,False,False
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-302b-3p,0.011850065120538045,0.7439189887171919,0.7830726197023072,False,False
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-302d-3p,0.024941668678091555,0.27214099349329773,0.31400883864611273,False,False
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-324-5p,0.05294348200406912,0.038623241115501916,0.05188196567753989,False,False
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-328-3p,0.023814590725133256,0.3401275313043891,0.38264347271743776,False,False
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-331-3p,0.07535347070540466,8.01152383498605e-05,0.00020310905497147736,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-335-5p,0.034902760721298276,0.174062542669407,0.20887505120328836,False,False
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-338-3p,0.12697407854667886,1.3916526248910478e-12,1.2524873624019431e-11,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-361-5p,0.11296561727442234,1.0097742993643537e-09,6.990745149445526e-09,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-363-3p,0.0899428159661032,7.12820179549088e-08,3.6659323519667384e-07,True,True
